Country,Country Code,Continent,Land area,Population,Population growth,GDP per capita,Income Group,Industry,Life expectancy,Birth rate,Death rate
Tunisia,TUN,Africa,155360.00,12262946.00,0.82886347,3807.18,Lower middle income,Manufacturing,73.77,16.09,7.88
Turkiye,TUR,Europe,769630.00,84147318.00,0.910444903,9743.21,Upper middle income,Automotive,76.03,14.68,6.4
Turkmenistan,TKM,Asia,469930.00,6341855.00,1.451977111,7885.30,Low Income,Oil and Petroleum,69.26,21.59,6.59
Turks and Caicos Islands,TCA,North America,950.00,45114.00,1.87498501,23158.64,High income,Tourism and Hospitality,74.59,12.48,9.24
Tuvalu,TUV,Oceania,30.00,11204.00,1.212244899,5372.76,Upper middle income,Tourism and Hospitality,64.55,23.48,10.16
Uganda,UGA,Africa,200520.00,45853778.00,3.211427904,883.47,Low income,Consumer Services,62.71,36.8,5.88
Ukraine,UKR,Europe,579400.00,43822901.00,-0.702971858,4827.85,Upper middle income,"Technology, Information and Media",69.65,7.3,18.5
United Arab Emirates,ARE,Asia,71020.00,9365145.00,0.834812788,44332.34,High income,Business Consulting and Services,78.71,10.31,1.87
United Kingdom,GBR,Europe,241930.00,67026292.00,-0.081937241,46869.76,High income,Retail,80.7,10.1,9.7
United States,USA,North America,9147420.00,332031554.00,0.156747055,70219.47,High income,Manufacturing,76.33,11,10.4
Uruguay,URY,South America,175020.00,3426260.00,-0.082446609,17924.00,High income,"Technology, Information and Media",75.44,10.47,12.16
Uzbekistan,UZB,Asia,440653.00,34915100.00,1.975706066,1993.42,Lower middle income,Agriculture and Food Services,70.86,25.9,5
Vanuatu,VUT,Oceania,12190.00,319137.00,2.362741525,3044.57,Lower middle income,Tourism and Hospitality,70.45,29.44,5.4
"Venezuela, RB",VEN,South America,882050.00,28199867.00,-1.025178708,3691.64,Low Income,Oil and Petroleum,70.55,15.88,8.12
Viet Nam,VNM,Asia,313429.00,97468029.00,0.844181677,3756.49,Lower middle income,Textiles and Food Production,73.62,15.01,7.32
Virgin Islands (U.S.),VIR,North America,350.00,105870.00,-0.395928119,41976.01,Low Income,Tourism and Hospitality,80.07,11.8,8.6
West Bank and Gaza,PSE,Asia,6025.00,4922749.00,2.457038653,3678.64,Upper middle income,Manufacturing,73.47,28.24,3.82
"Yemen, Rep.",YEM,Asia,527970.00,32981641.00,2.137789701,543.64,Low Income,Oil and Petroleum,63.75,30.54,6.85
Zambia,ZMB,Africa,743390.00,19473125.00,2.840805978,1134.71,Lower middle income,Mining and Minerals,61.22,34.51,6.97
Zimbabwe,ZWE,Africa,386850.00,15993524.00,2.045714878,1773.92,Lower middle income,Manufacturing,59.25,30.54,9.06
